"","variable","Group1","value"
"1","agaricales","Healthy Control",3.23021549957945
"2","hypocreales","Healthy Control",4.92250860858077
"3","saccharomycetales","Healthy Control",0.036015209294021
"4","filobasidiales","Healthy Control",0
"5","sporidiobolales","Healthy Control",0
"6","helotiales","Healthy Control",1.64718639480958
"7","capnodiales","Healthy Control",44.7694799741531
"8","onygenales","Healthy Control",6.3102511551723
"9","xylariales","Healthy Control",0
"10","eurotiales","Healthy Control",6.98357155618042
"11","pleosporales","Healthy Control",4.05362111306747
"12","pezizales","Healthy Control",0
"13","tremellales","Healthy Control",0
"14","chaetothyriales","Healthy Control",0.0130361018762147
"15","malasseziales","Healthy Control",28.0341143872867
"16","agaricales","Prostate cancer",1.58976911069121
"17","hypocreales","Prostate cancer",21.6222222698508
"18","saccharomycetales","Prostate cancer",0.461445575254786
"19","filobasidiales","Prostate cancer",5.44188058953756
"20","sporidiobolales","Prostate cancer",1.65522878668983
"21","helotiales","Prostate cancer",0
"22","capnodiales","Prostate cancer",1.10955434005728
"23","onygenales","Prostate cancer",5.51926586061473
"24","xylariales","Prostate cancer",5.35302113700485
"25","eurotiales","Prostate cancer",5.63034476733557
"26","pleosporales","Prostate cancer",18.0834239212625
"27","pezizales","Prostate cancer",6.08172702458165
"28","tremellales","Prostate cancer",0
"29","chaetothyriales","Prostate cancer",0
"30","malasseziales","Prostate cancer",24.1187832837859
